GaitCyclePercent,Hip Flexion/Extension,Hip Add/Abduction,Hip Int/External Rotation,Knee Flx/Extension,Knee Add/Abduction,Knee Int/External Rotation,Ankle Dorsi/Plantarflexion,Ankle Inv/Eversion,Ankle Add/Abduction,Foot Angle,Shank Angle,Thigh Angle
73.0,0.0,0.0,0.0,61.77162720233131,-0.2281519770568664,1.9836137847518833,-15.16740216123037,2.482924947986307,-2.8508774272362736,-59.03245557716087,-43.89691491267592,17.653437458508748
74.0,0.0,0.0,0.0,61.940348551999264,-0.054391310494019435,1.622495966832715,-13.855054026613118,1.969521033239866,-3.1347100317231047,-56.32934145783605,-42.5127542302919,19.163883132825596
75.0,0.0,0.0,0.0,61.70694399575497,0.1741384196066005,1.3405546904020882,-12.590029612299809,1.501155150575132,-3.4055734712666568,-53.36955186974969,-40.808453018571555,20.597353670482956
76.0,0.0,0.0,0.0,61.080632972447944,0.4573706251532881,1.0604430230808708,-11.373049248733398,1.1052119935774853,-3.6160838339736054,-50.171964718349535,-38.80133432477316,21.946398070716604
77.0,0.0,0.0,0.0,60.07836666804826,0.7799679251578496,0.7252953478336835,-10.20870595738165,0.8063417178402662,-3.736242424607582,-46.76535811475815,-36.524055604220784,23.199285861123755
78.0,0.0,0.0,0.0,58.72608408924638,1.1256328208635655,0.29883250408265943,-9.104573229045606,0.5942073971240928,-3.7564942099625114,-43.185457177054026,-34.012491173692304,24.354969781341467
79.0,0.0,0.0,0.0,57.041587336535436,1.4680854161226642,-0.2301397842466697,-8.078107985520742,0.4462742866124607,-3.6850757638547385,-39.475496490758985,-31.299496801599886,25.40128350763915
80.0,0.0,0.0,0.0,55.02912700426132,1.7735539905407502,-0.8317599959871624,-7.14764199820323,0.3482582191067134,-3.554798674889948,-35.667036476642096,-28.397589531155838,26.32438722576832
81.0,0.0,0.0,0.0,52.713547504096375,2.018845750997964,-1.4693141309741762,-6.329310531467401,0.29372321235958043,-3.41044133954978,-31.792820824313317,-25.334720984125227,27.125145229020877
82.0,0.0,0.0,0.0,50.119510285636714,2.1861907196665045,-2.0918927367863147,-5.622161919725546,0.2735301951237494,-3.2990398048744276,-27.888281175356656,-22.12552803338334,27.795395696899416
83.0,0.0,0.0,0.0,47.26607833121156,2.262195392562254,-2.6379443199419024,-5.0342086302118885,0.2768195900406504,-3.2628327623513815,-23.96978798357181,-18.795662907083585,28.336257814799104
84.0,0.0,0.0,0.0,44.166547210174535,2.235956835945986,-3.058990127806957,-4.552130348231814,0.2948848019918023,-3.3118695109495344,-20.04670750168589,-15.350024394560213,28.74305635438603
85.0,0.0,0.0,0.0,40.84729817900023,2.110420113346225,-3.3437636119024003,-4.160489847508305,0.32297585412108865,-3.4151668245430495,-16.12058051008553,-11.797197683038844,29.01310491626018
86.0,0.0,0.0,0.0,37.32711418014909,1.8935105404589558,-3.5140910777488146,-3.8549094391401817,0.3704303031259409,-3.521879340018435,-12.206248455935151,-8.184067022646929,29.146393759854075
87.0,0.0,0.0,0.0,33.63421824426021,1.6063677758624804,-3.6094068716058447,-3.626322804216075,0.44735100765119473,-3.5801179758196255,-8.318053574003903,-4.52575604136939,29.150767861293204
88.0,0.0,0.0,0.0,29.800225497388226,1.279794573164703,-3.670331844388071,-3.4757594005842503,0.5482698816209862,-3.5487855481773054,-4.474838239838786,-0.830427996239314,29.0383477191654
