GaitCyclePercent,Hip Flexion/Extension,Hip Add/Abduction,Hip Int/External Rotation,Knee Flx/Extension,Knee Add/Abduction,Knee Int/External Rotation,Ankle Dorsi/Plantarflexion,Ankle Inv/Eversion,Ankle Add/Abduction,Foot Angle,Shank Angle,Thigh Angle
57.0,0.0,0.0,0.0,5.3644190492329615,3.4700155566857775,5.184747760540016,7.645101068015984,4.9560508817606586,5.289161566869475,9.129068744274857,3.0973616526821806,3.632575291426153
58.0,0.0,0.0,0.0,5.636465954121623,3.694678171759204,5.4289856514790555,8.553102087268462,5.357015573241994,5.413887176037207,10.077756145266827,3.213596852829396,3.8244848660740574
59.0,0.0,0.0,0.0,5.859953202806483,3.969692852034859,5.648357502825067,9.375516575212567,5.787193385624926,5.505883085436924,10.87744650610858,3.2923850530292498,4.011526382258056
60.0,0.0,0.0,0.0,5.990975697395823,4.313652563702809,5.778289653013917,10.002422083514332,6.193945699308767,5.495040311022211,11.45627257580208,3.3368780070883037,4.150232927762337
61.0,0.0,0.0,0.0,6.020013974813296,4.716891304887125,5.828827763240717,10.375761190520713,6.522350301062313,5.393560289119962,11.752073493645925,3.35150343590556,4.224644540877155
62.0,0.0,0.0,0.0,5.968905218303877,5.1428905721637985,5.820199865079168,10.4533756365023,6.760076425759958,5.301725538770801,11.746219280133426,3.3377964722428444,4.2434157758223625
63.0,0.0,0.0,0.0,5.861594041428566,5.549944016902401,5.734271634029369,10.244042057603123,6.940928774347211,5.322261826854503,11.495752433520313,3.2797108193223163,4.2350446324193785
64.0,0.0,0.0,0.0,5.693349161056146,5.905115539434964,5.576026075771093,9.76438772099547,7.088087916816875,5.448679578146884,10.954488376039883,3.1690220515916976,4.206790393899791
65.0,0.0,0.0,0.0,5.478410468605259,6.165240514258256,5.368274022941585,9.06892456063437,7.154567459304895,5.575567299565433,10.108137527895273,3.0306329193873975,4.1551333789529314
66.0,0.0,0.0,0.0,5.248040834189082,6.309229316947837,5.187984315159003,8.275717353551755,7.108252212033178,5.631938579268508,9.024073869616547,2.9224187095918523,4.081287574083721
67.0,0.0,0.0,0.0,4.987071186092028,6.362055847864571,5.13392724778305,7.578094433297924,7.041225669468234,5.592225954283361,7.958150888188784,2.845005258131232,3.9794596799155384
68.0,0.0,0.0,0.0,4.700345852572008,6.382164868853469,5.20565179135544,7.215544239040482,7.062367107843388,5.485603320966336,7.259829837040389,2.780460343333118,3.8633160217043265
69.0,0.0,0.0,0.0,4.403058962994499,6.393579613981689,5.362094162876652,7.188376636643455,7.144488320954642,5.304759976089311,7.025635642969865,2.7404602826831246,3.739714157089342
70.0,0.0,0.0,0.0,4.127938532194911,6.386897177963356,5.563360930781081,7.283437908445597,7.182031718402496,5.025094236374416,7.086214955253537,2.7176771765689023,3.6284673297724006
