GaitCyclePercent,R_Hip Flexion/Extension,L_Hip Flexion/Extension,R_Hip Add/Abduction,L_Hip Add/Abduction,R_Hip Int/External Rotation,L_Hip Int/External Rotation,R_Knee Flx/Extension,L_Knee Flx/Extension,R_Knee Add/Abduction,L_Knee Add/Abduction,R_Knee Int/External Rotation,L_Knee Int/External Rotation,R_Ankle Dorsi/Plantarflexion,L_Ankle Dorsi/Plantarflexion,R_Ankle Inv/Eversion,L_Ankle Inv/Eversion,R_Ankle Add/Abduction,L_Ankle Add/Abduction,R_Foot Angle,L_Foot Angle,R_Shank Angle,L_Shank Angle,R_Thigh Angle,L_Thigh Angle
40.0,0.0,0.0,0.0,0.0,0.0,0.0,4.126034888000228,4.7276472781339045,1.6886805394293578,2.2914976591912253,3.720017372629579,4.907460321395973,2.1940183361826504,2.4156908456870108,1.8876979664203402,2.4024491807173667,3.1305918528641397,4.352491084439349,1.2235255032500705,2.612141451327044,1.8936002010134838,2.3453103112982614,2.6772344395108587,3.0346470507299372
41.0,0.0,0.0,0.0,0.0,0.0,0.0,4.158916665296177,4.783797991233273,1.720898250175336,2.2894180871205316,3.8154714665439706,5.084677419199123,2.164979937062121,2.4189361200702577,1.9200276406071357,2.4768522144406333,3.140742419757419,4.360850679142911,1.227404317359718,2.6621590284832797,1.836799680778287,2.3389447591273114,2.7821822068849,3.0685866831082698
42.0,0.0,0.0,0.0,0.0,0.0,0.0,4.162488447697923,4.8231207607073605,1.7697344999259492,2.2933180881054036,3.9052304011315786,5.234902143890064,2.1359490413773217,2.4255582506211084,1.9579699892762288,2.556804435146278,3.1573914290545417,4.3779772479354815,1.2593444146283435,2.725120913890093,1.7857137770294902,2.328141224685577,2.8554094151697456,3.099776692851372
43.0,0.0,0.0,0.0,0.0,0.0,0.0,4.140775318497559,4.841533838040998,1.8324751382041553,2.303965332736609,3.9615808730827364,5.351928407935858,2.1157653264400818,2.442659218126381,1.9986681176504182,2.64052375678984,3.185424850558777,4.408451770487979,1.3340315490443635,2.8061645687440184,1.7470324482338595,2.3198903626281875,2.898596582185391,3.121017261185997
44.0,0.0,0.0,0.0,0.0,0.0,0.0,4.104194570976339,4.841299406565353,1.9038749583669832,2.3209946626772617,3.9631657341317306,5.4330768396410996,2.1124444269777807,2.4782927807509068,2.0423739266491516,2.7242435225569084,3.223144205058871,4.451494120804338,1.4665542756837353,2.9079959038069547,1.7288499465931728,2.3102869453255757,2.9299289865025884,3.1354162052552295
45.0,0.0,0.0,0.0,0.0,0.0,0.0,4.072891489326988,4.8280868986277365,1.9808520870375337,2.3428480641811618,3.9008513119436983,5.47597600899408,2.140239257114604,2.5423264529688687,2.092512994026431,2.8066371645186674,3.264487702506939,4.505220054371266,1.665119414666294,3.0359818971892873,1.7295925664664933,2.3078072091810795,2.962395523874378,3.1449712531809824
46.0,0.0,0.0,0.0,0.0,0.0,0.0,4.060072071572607,4.810158691128731,2.060054654919114,2.3738461924318712,3.780549531123034,5.483655352888727,2.211555972722171,2.6463281707103508,2.15551529973558,2.8878292379646395,3.30413584789877,4.563246997367476,1.9379778071183724,3.1969184198375777,1.7577813955261192,2.3157204623759107,3.0143867964961086,3.150470694493129
47.0,0.0,0.0,0.0,0.0,0.0,0.0,4.071623557342748,4.79097411332335,2.1414620365454917,2.419760746378497,3.62348245797447,5.468302050402744,2.3439259640129655,2.7933872705999896,2.231976485052463,2.9657258230237535,3.3427113766547705,4.623644611614279,2.2846783132025617,3.395459871577051,1.802991592137163,2.335055956118244,3.085178831670073,3.1525605360046085
48.0,0.0,0.0,0.0,0.0,0.0,0.0,4.100555042810091,4.774778641093313,2.2244144148591642,2.4839070199382163,3.467102630342071,5.443334166921791,2.5520640131098604,2.9855679718867916,2.3200668370465785,3.0356956137579973,3.393145984847923,4.689850011548246,2.700003809470918,3.638676491779303,1.86391553508233,2.364299529612556,3.167064899219497,3.149757431363418
49.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1397676744937435,4.763950460454894,2.3043632424998894,2.5583555788419563,3.3407996217772946,5.426021348447695,2.8350598754072274,3.2171897102089706,2.415990560605924,3.0949867955363977,3.472864163546448,4.768152781369286,3.1786122231199636,3.929790010254563,1.9432315447403152,2.406488912102616,3.2470706798024014,3.1418652107422558
